method,matrix_group,mean_condition_number,std_condition_number,mean_effective_rank,std_effective_rank
xavier_baseline,QK,864.1527526855468,602.3643592665759,102.4415267944336,0.3262385021333527
xavier_baseline,VO,880.7907531738281,506.26597427559295,101.83997192382813,0.39756111795110866
ce_lcg_attn+xavier_ffn,QK,1143.4757553100585,1843.42177347653,103.04902267456055,0.9322084898421773
ce_lcg_attn+xavier_ffn,VO,386.2409866333008,387.60155805995896,114.44307098388671,0.10481307139170544
gaussian_matched_attn+xavier_ffn,QK,759.7824203491211,807.2836632125678,104.40292663574219,0.7063490731827532
gaussian_matched_attn+xavier_ffn,VO,880.3083129882813,530.9082671696725,108.17339630126953,0.3217370999615659
xavier_gain1.4_attn+xavier_ffn,QK,582.9578506469727,611.1716838732058,104.42569885253906,0.5571979020049709
xavier_gain1.4_attn+xavier_ffn,VO,6342.577114868164,12258.058570556917,108.16748657226563,0.24396918263446782
orthogonal_attn+xavier_ffn,QK,7.388684272766113,1.4925318173136783,120.29333572387695,0.8428630875205808
orthogonal_attn+xavier_ffn,VO,7.256992816925049,0.3586013739190188,123.13133239746094,0.056275820559386944
uniform_matched_attn+xavier_ffn,QK,2120.5417419433593,4605.356167720834,104.41337738037109,0.8098016955446354
uniform_matched_attn+xavier_ffn,VO,540.369027709961,645.8525896453881,108.48654327392578,0.3164022130988287
xavier_gain1.2_attn+xavier_ffn,QK,4754.40539932251,13306.86741325085,104.3924789428711,0.7423429819660288
xavier_gain1.2_attn+xavier_ffn,VO,252.04630126953126,121.36844773106289,108.27835540771484,0.4424584264270177
xavier_gain1.6_attn+xavier_ffn,QK,536.3484939575195,480.50718970913323,104.62947540283203,0.623374665247054
xavier_gain1.6_attn+xavier_ffn,VO,27937.082493591308,53634.34821096083,107.8313980102539,0.26854773958928674
