palette,file,size_bytes,sha256
COLOR,fig01_causal_reconstruction.png,114369,a589cd0de21864082fd6f89e3c71a255da577c9005701029b8a4e95f0c153a36
COLOR,fig02_R010_test_ppl.png,114609,0711d6860929d599a9bd633f3d28cd40856baec937f5f3a46ee9f54db3f9cdfe
COLOR,fig03_R011_factorial_test_ppl.png,91241,156d74fd49bd75e20a105daae6a6306d1b497b9539d274dddecbeac0ecd14b44
COLOR,fig04_R012_factorial_test_ppl.png,94393,a7d50fdd13f04388af5321410b6a60e214138167e0ea6a09d96215231482b1ed
COLOR,fig05_R013_dose_response_test_ppl.png,125171,e7082eb5d67d97ec1c04b8117bc01b0edd35ec18e3340cdffb7d2b33015a62eb
COLOR,fig06_R014_dose_response_test_ppl.png,123133,1cafaac84a3033821332dd1bbbe6941ad9384ce17b85ae82a552e910b95747eb
COLOR,fig07a_R013_embedding_rms_trajectory.png,110780,afcc20502c62eb89367c7b37fffe35e4f5d3b263d989cc8b7e33b05d84ddb7f7
COLOR,fig07b_R013_embedding_grad_l2_trajectory.png,125253,48a9183f0012a7903cc2e9a304cfb6f1928d425f4c9b57fe5f5a58e08f3750be
COLOR,fig07c_R014_best_epoch_by_dose.png,80773,bee3b63c447e78c9f998cbc61dbd85ee927a4168908cae08761db2e2ae49b24b
COLOR,fig07d_R014_final_vs_best_val_ppl.png,86016,065645d7f9487f393cb17b335e0f413dabad4a288cf4a0fb878454db726285bb
GRAYSCALE_PRINT_SAFE,fig01_causal_reconstruction.png,105475,ffbf5b8ae2512c6a43c5d2d6b2eaa50e670ab139cccbbfdf05d985f04b2c0079
GRAYSCALE_PRINT_SAFE,fig02_R010_test_ppl.png,115373,256bfe56e9a065521c9d18bbf7f9229f527d520c889d7c6b59acc5cb88a2bb0e
GRAYSCALE_PRINT_SAFE,fig03_R011_factorial_test_ppl.png,93213,0a5521c1a8eb72676b6554c784322a0b6b969e4a489a1ef524eea48d608be90b
GRAYSCALE_PRINT_SAFE,fig04_R012_factorial_test_ppl.png,95775,96d73c9855571b2748b7eb06b397e4339223464cfe4e7f6e3c4ac86baf10db1a
GRAYSCALE_PRINT_SAFE,fig05_R013_dose_response_test_ppl.png,123242,1d5ee503604d178f972b1c82458ed88b8b5fdbfe6a4bdcf4a77d7122155f093a
GRAYSCALE_PRINT_SAFE,fig06_R014_dose_response_test_ppl.png,119708,19921852d2149bbda549d59532a03fe74f6c39abca8e9e039abf6e141e2bac04
GRAYSCALE_PRINT_SAFE,fig07a_R013_embedding_rms_trajectory.png,104561,f6751793496249b7e61558a8041a706eb1123c0788f233db28bfc6572cb13980
GRAYSCALE_PRINT_SAFE,fig07b_R013_embedding_grad_l2_trajectory.png,117076,90ede4d8e76c69b39e799c556a9a3d1cf9860b28578b0699f967ed983d5273b1
GRAYSCALE_PRINT_SAFE,fig07c_R014_best_epoch_by_dose.png,77143,bee811cf3594f419ac2185f2b37ca63c49b2fe30467debae89eaeebcf05dc5e9
GRAYSCALE_PRINT_SAFE,fig07d_R014_final_vs_best_val_ppl.png,85562,a4e4b02e4d98b36059263977eb89e331a3b17e5efd43fb32a4dd3b3bdcbd1b4d
