method,seed,method_test_ppl,baseline_test_ppl,delta_test_ppl,rel_delta,best_val_ppl,final_val_ppl,best_epoch,final_to_best_val_ratio
orthogonal,42,313.96070628087995,314.6083550761629,-0.6476487952829757,-0.0020585873986918996,309.0199863753876,368.24513980874605,7,1.1916547668260318
xavier_g1.2,42,317.30253784330966,314.6083550761629,2.694182767146742,0.008563608447380595,311.0323374006359,365.380864959192,7,1.1747359390755265
ce_lcg,42,344.5919088064584,314.6083550761629,29.983553730295455,0.09530437843278763,334.79175685800294,364.9996429410214,9,1.0902288824746384
orthogonal,43,315.0229254598965,306.794767850328,8.228157609568484,0.026819745549189575,311.51939850847435,367.81731628326486,7,1.1807204239746856
xavier_g1.2,43,318.44353619417336,306.794767850328,11.648768343845347,0.037969253600596865,316.69492393527145,378.9654908733543,7,1.1966263499405194
ce_lcg,43,349.98569494932724,306.794767850328,43.190927098999225,0.14078117238319468,352.05590345331274,388.36691133184706,8,1.1031398920522566
orthogonal,44,317.61759292988523,308.6462827029736,8.971310226911612,0.029066639482404427,312.04832954265885,372.56140697694866,8,1.1939221322638656
xavier_g1.2,44,314.76957335109654,308.6462827029736,6.123290648122918,0.01983918482509533,308.9892379544678,364.9173896556145,8,1.1810035588015793
ce_lcg,44,343.14802301968484,308.6462827029736,34.50174031671122,0.11178407857227958,337.2643103010967,378.8033369685425,8,1.123164608287077
orthogonal,45,313.37434979023055,314.51209932185435,-1.1377495316237969,-0.003617506398249839,308.35553666880196,368.90303565410323,8,1.1963561272140673
xavier_g1.2,45,315.86118309948546,314.51209932185435,1.3490837776311082,0.004289449533229341,313.0869805566309,374.6999953243384,7,1.196792005397883
ce_lcg,45,340.2942995388231,314.51209932185435,25.78220021696876,0.08197522534923109,338.28962265375856,374.3656577961916,8,1.1066424528764132
orthogonal,46,311.4651778053288,309.27407767883795,2.1911001264908236,0.007084654953740241,309.36817428423245,371.33537095392154,7,1.2003024286937694
xavier_g1.2,46,313.86107898411854,309.27407767883795,4.58700130528058,0.01483150912519703,311.97786016240013,369.60141211142303,7,1.184703978413811
ce_lcg,46,343.0294369697426,309.27407767883795,33.755359290904664,0.10914383625115041,340.51653575884797,386.7243961685161,8,1.1356993142981822
