method,seed,best_epoch,best_val_loss,best_val_ppl,final_val_loss,final_val_ppl,test_loss,test_ppl,seed_model,seed_attention,seed_attention_method,seed_shuffle
xavier_g1.0,42,7,5.732533137003581,308.75038564794625,5.900514189402262,365.22521452726915,5.751328548046996,314.6083550761629,42,10049,10049,20053
orthogonal,42,7,5.733405955632528,309.0199863753876,5.908748857180277,368.24513980874605,5.74926783884482,313.96070628087995,42,10049,1010052,20053
xavier_g1.2,42,7,5.739896885553995,311.0323374006359,5.90094027519226,365.380864959192,5.7598556968027035,317.30253784330966,42,10049,2010055,20053
ce_lcg,42,9,5.813508717219035,334.79175685800294,5.899896375338236,364.9996429410214,5.842360843860128,344.5919088064584,42,10049,3010058,20053
xavier_g1.0,43,7,5.722555526097616,305.6851119168415,5.889705546696981,361.2988830584521,5.726179015404813,306.794767850328,43,10050,10050,20054
orthogonal,43,7,5.741461610794067,311.51939850847435,5.907586391766866,367.81731628326486,5.752645415415119,315.0229254598965,43,10050,1010053,20054
xavier_g1.2,43,7,5.757938925425211,316.69492393527145,5.937445147832235,378.9654908733543,5.763445178901131,318.44353619417336,43,10050,2010056,20054
ce_lcg,43,8,5.863789979616801,352.05590345331274,5.9619505405426025,388.36691133184706,5.857892282074843,349.98569494932724,43,10050,3010059,20054
xavier_g1.0,44,8,5.722358179092407,305.6247918276581,5.891819143295288,362.0633307310727,5.73219590503815,308.6462827029736,44,10051,10051,20055
orthogonal,44,8,5.743158078193664,312.04832954265885,5.920401875178019,372.56140697694866,5.760848121194887,317.61759292988523,44,10051,1010054,20055
xavier_g1.2,44,8,5.733306447664897,308.9892379544678,5.899670998255412,364.9173896556145,5.751840857968199,314.76957335109654,44,10051,2010057,20055
ce_lcg,44,8,5.820866926511129,337.2643103010967,5.937017170588176,378.8033369685425,5.838161908066548,343.14802301968484,44,10051,3010060,20055
xavier_g1.0,45,8,5.732733805974324,308.81234848685244,5.899081786473592,364.70243936207976,5.751022547012101,314.51209932185435,45,10052,10052,20056
orthogonal,45,8,5.731253457069397,308.35553666880196,5.910533833503723,368.90303565410323,5.747398481614655,313.37434979023055,45,10052,1010055,20056
xavier_g1.2,45,7,5.746481045087179,313.0869805566309,5.926125693321228,374.6999953243384,5.75530282308007,315.86118309948546,45,10052,2010058,20056
ce_lcg,45,8,5.823902400334676,338.28962265375856,5.925233014424642,374.3656577961916,5.8298108300848135,340.2942995388231,45,10052,3010061,20056
xavier_g1.0,46,7,5.725972771644592,306.7314998683281,5.912411332130432,369.59630119583716,5.734227866540384,309.27407767883795,46,10053,10053,20057
orthogonal,46,7,5.734532070159912,309.36817428423245,5.91710561911265,371.33537095392154,5.741287543231742,311.4651778053288,46,10053,1010056,20057
xavier_g1.2,46,7,5.742932224273682,311.97786016240013,5.91242516040802,369.60141211142303,5.748950464392592,313.86107898411854,46,10053,2010059,20057
ce_lcg,46,8,5.830463687578837,340.51653575884797,5.957712284723917,386.7243961685161,5.837816265552657,343.0294369697426,46,10053,3010062,20057
