cell,seed,best_epoch,best_val_ppl,final_val_ppl,test_ppl
S0D0,47,7,308.6359968859132,362.9890331759752,308.5459589193233
S0D1,47,7,310.2034392626887,365.4796244579944,315.69682361118225
S1D0,47,4,232.187457431358,871.4807561696208,237.34163491962263
S1D1,47,5,232.7739784984553,823.311547109804,240.45374805186395
S0D0,48,7,310.76777772832094,371.46459295790623,314.5768893565521
S0D1,48,7,308.9172719432487,368.66843611757724,311.6126025728878
S1D0,48,4,232.83133682660966,844.9146293417145,239.49260694045208
S1D1,48,5,233.10414220444372,823.5010372365509,241.54929160781106
S0D0,49,7,304.91401384430867,362.271284082739,309.9457795706956
S0D1,49,7,309.29495735335223,366.35201207508857,314.7981484979102
S1D0,49,4,231.75799989656232,816.0597327889999,239.68656784572005
S1D1,49,4,231.4609899279836,852.4058960977815,237.9749073460619
S0D0,50,7,303.94045764613105,360.58914415299597,310.7808499216303
S0D1,50,7,309.32474796224665,367.5931235376396,313.359693104669
S1D0,50,4,233.5183665686265,827.3785907620489,238.01238026380332
S1D1,50,5,231.67514264303784,897.260271842635,240.60684398228435
S0D0,51,7,303.2277553410478,360.85870710589967,302.7069433765776
S0D1,51,7,304.1060008132135,363.3765125852412,311.00528663196684
S1D0,51,4,230.79807032527944,776.8167865235002,239.5447063804648
S1D1,51,4,232.31690159283323,828.1435991391266,238.7249184722305
