dose,seed,best_epoch,best_val_ppl,final_val_ppl,final_minus_best_val_loss,test_ppl
D_below,52,4,233.07316600061918,798.7340639347894,1.2316756327946985,237.4588130434148
D_xavier,52,5,228.9483798494755,807.50086023852,1.2604475577672325,237.88979216591883
D_mid1,52,5,239.13408129043262,701.8019079916411,1.0766267776489258,245.22134112788896
D_mid2,52,7,252.21839226396693,382.90799538853395,0.4174993912378948,256.80827096456085
D_ctor,52,7,309.48691974797663,369.5962865093998,0.17749546368916835,308.91636829503096
D_below,53,4,229.66332357837126,782.8459119962091,1.2263214588165283,236.72194668977806
D_xavier,53,4,232.18435556981092,816.9881157872396,1.258092856407166,236.61642521988307
D_mid1,53,5,240.56682132149132,706.6507754765773,1.0775386969248455,246.49326813458208
D_mid2,53,7,249.8486174523813,384.43804926445387,0.4309274514516197,259.51692092201887
D_ctor,53,7,310.1681409921131,363.6626732200513,0.159112175305685,313.24664926136313
D_below,54,5,227.41571074911585,775.8816689018835,1.2272203524907423,235.47579360535173
D_xavier,54,5,229.57940343710283,812.9809342224394,1.2644587039947508,236.79514389213628
D_mid1,54,5,239.9264757994078,724.3973463595586,1.1050075372060144,245.1545222281342
D_mid2,54,7,257.88833281475485,395.21602388903244,0.4269058386484783,264.1560372235231
D_ctor,54,7,309.78040074605315,365.94345903876507,0.1666151762008674,316.8804493977305
D_below,55,5,228.7096326048046,812.0491151984328,1.267107605934143,238.69021671936162
D_xavier,55,5,229.37879248815634,841.1343983464034,1.2993767023086544,238.91806103813065
D_mid1,55,5,239.37192509955216,702.9473339682158,1.0772634585698446,244.82006360168336
D_mid2,55,7,251.88089021628898,389.31655287944903,0.4354364554087313,260.22575414118796
D_ctor,55,8,308.6756860413964,367.65276809704204,0.17484776178995798,312.4308522843726
D_below,56,5,229.47567479869383,852.7403553556413,1.3126580794652298,238.98783863363127
D_xavier,56,4,231.74604477538986,856.4469402536772,1.3071502288182577,238.68465840016364
D_mid1,56,5,242.5478842416197,773.6834965125271,1.15996371905009,248.32171549239047
D_mid2,56,7,252.05918083118655,394.94872994734294,0.4490920543670658,259.8064298363853
D_ctor,56,7,309.3527737632013,366.7232829329846,0.1701252778371174,312.3130517147686
