manuscript_figure,exact_source_artifact,source_sha256_or_output_sha,regenerated_or_reused,internal_claim,generation_script
Fig. 1,SOURCE_OF_TRUTH_MAP_R010_R014.md + R010-R014 final reviews,d4258cce8c34ca8b404ef05a59ad285dd58cd246515a1efc3585970fdc6e3989,regenerated,H0-C5,scripts/generate_manuscript_figures.py
Fig. 2,R010_paired_attention_init_confirmation/metrics/per_seed.csv,236df719e3e80e436c8d346b82f92735f92946795f2918e4bae7e521a2c8a4fd,regenerated,C1,scripts/generate_manuscript_figures.py
Fig. 3,R011_embedding_init_factorial_ablation/attempt_seed_atomic_v2/plots/fig01_factorial_test_ppl.png,NOT_ASSERTED_R011_PROVENANCE_LIMITATION,reused,C2,REUSED_ACCEPTED_ARTIFACT
Fig. 4,R012_embedding_scale_redraw_factorial/plots/fig01_factorial_test_ppl.png,10eb1b1b60dc80c5932c6c1d34841e08ebc74aaa6f144f21935d2a30829acb46,reused,C3,REUSED_ACCEPTED_ARTIFACT
Fig. 5,R013_embedding_scale_response_and_dynamics/plots/fig01_dose_response_test_ppl.png,c9b9d14243419a13fcd6ad783405db9bc094dda6dd6104e58a652d7cdeb30915,reused,C4,REUSED_ACCEPTED_ARTIFACT
Fig. 6,R014_corrected_larger_model_embedding_scale_confirmation_v2/plots/fig01_dose_response_test_ppl.png,9aa424d0ede3123a0952439665ff38ed98778a07e5eb28d72575d1eee70a7b92,reused,C5,REUSED_ACCEPTED_ARTIFACT
Fig. 7a,R013_embedding_scale_response_and_dynamics/plots/fig04_embedding_rms_trajectory.png,4830a1abf03eb6df86f148117258352c97f51e892d99511acb2756407e6e1b9b,reused,C6,REUSED_ACCEPTED_ARTIFACT
Fig. 7b,R013_embedding_scale_response_and_dynamics/plots/fig08_embedding_grad_l2_trajectory.png,aa196cca73fa74e8f699d859ef4d6bdd9ed37ae347f858ee117a7443f7af6335,reused,C6,REUSED_ACCEPTED_ARTIFACT
Fig. 7c,R014_corrected_larger_model_embedding_scale_confirmation_v2/plots/fig02_best_epoch_by_dose.png,e9b2fead8d2a3b2af93fd54b84bc4f70413133289b93ca0d3e1e5db208e65f4e,reused,C6,REUSED_ACCEPTED_ARTIFACT
Fig. 7d,R014_corrected_larger_model_embedding_scale_confirmation_v2/plots/fig03_final_vs_best_val_ppl.png,60a3b4720c231d7f44ea1035267aed88749aab1ae755cc284406b2eccee4e88b,reused,C6,REUSED_ACCEPTED_ARTIFACT
