cell,embedding_mode,attention,seed,best_epoch,best_val_ppl,final_val_ppl,test_ppl
A0B0,constructor,xavier_g1.0,42,7,308.7493035559671,365.22028603194195,314.6071482317394
A0B1,constructor,orthogonal,42,7,309.0190727930227,368.2402086059688,313.9597167069584
A1B0,historical_xavier,xavier_g1.0,42,5,227.91207305408943,767.5924995847436,236.78627007756802
A1B1,historical_xavier,orthogonal,42,4,231.81245866164707,970.883740971735,239.3470370830379
A0B0,constructor,xavier_g1.0,43,7,305.6841790413364,361.2940333883762,306.79377455290813
A0B1,constructor,orthogonal,43,7,311.51847010970334,367.8124814259386,315.02175985620624
A1B0,historical_xavier,xavier_g1.0,43,4,231.27869504268685,841.253348256907,239.45638770521697
A1B1,historical_xavier,orthogonal,43,4,231.3126663163234,949.8295242122391,236.08714193181044
A0B0,constructor,xavier_g1.0,44,8,305.62345108463245,362.0584679225282,308.6449504252031
A0B1,constructor,orthogonal,44,8,312.0469308611501,372.5562136786622,317.61618839311865
A1B0,historical_xavier,xavier_g1.0,44,4,228.40443068067745,789.1107564973017,233.57674697625265
A1B1,historical_xavier,orthogonal,44,4,230.11156049541387,890.6114349173345,234.9971168637606
A0B0,constructor,xavier_g1.0,45,8,308.8110968371663,364.69734112164923,314.5106958452918
A0B1,constructor,orthogonal,45,8,308.35408102199733,368.8979842353329,313.37270749863984
A1B0,historical_xavier,xavier_g1.0,45,5,229.00836266609411,839.80741649508,241.0915197800289
A1B1,historical_xavier,orthogonal,45,4,226.87005882805855,908.1601310449676,233.63698420889025
A0B0,constructor,xavier_g1.0,46,7,306.7304321650562,369.5911668529517,309.272998586135
A0B1,constructor,orthogonal,46,7,309.36743915253777,371.33053411878205,311.4644095787591
A1B0,historical_xavier,xavier_g1.0,46,5,230.52809752025146,838.5906463002004,237.54100873265062
A1B1,historical_xavier,orthogonal,46,4,228.78308900441718,921.5384519911887,235.73067459302814
