contrast,seed,delta_test_ppl,delta_best_val_ppl
D_xavier_minus_D_ctor,52,-71.0266,-80.5385
D_xavier_minus_D_ctor,53,-76.6302,-77.9838
D_xavier_minus_D_ctor,54,-80.0853,-80.201
D_xavier_minus_D_ctor,55,-73.5128,-79.2969
D_xavier_minus_D_ctor,56,-73.6284,-77.6067
D_below_minus_D_xavier,52,-0.431,4.1248
D_below_minus_D_xavier,53,0.1055,-2.521
D_below_minus_D_xavier,54,-1.3194,-2.1637
D_below_minus_D_xavier,55,-0.2278,-0.6692
D_below_minus_D_xavier,56,0.3032,-2.2704
D_xavier_minus_D_mid1,52,-7.3315,-10.1857
D_xavier_minus_D_mid1,53,-9.8768,-8.3825
D_xavier_minus_D_mid1,54,-8.3594,-10.3471
D_xavier_minus_D_mid1,55,-5.902,-9.9931
D_xavier_minus_D_mid1,56,-9.6371,-10.8018
D_mid1_minus_D_mid2,52,-11.5869,-13.0843
D_mid1_minus_D_mid2,53,-13.0237,-9.2818
D_mid1_minus_D_mid2,54,-19.0015,-17.9619
D_mid1_minus_D_mid2,55,-15.4057,-12.509
D_mid1_minus_D_mid2,56,-11.4847,-9.5113
D_mid2_minus_D_ctor,52,-52.1081,-57.2685
D_mid2_minus_D_ctor,53,-53.7297,-60.3195
D_mid2_minus_D_ctor,54,-52.7244,-51.8921
D_mid2_minus_D_ctor,55,-52.2051,-56.7948
D_mid2_minus_D_ctor,56,-52.5066,-57.2936
D_below_minus_D_ctor,52,-71.4576,-76.4138
D_below_minus_D_ctor,53,-76.5247,-80.5048
D_below_minus_D_ctor,54,-81.4047,-82.3647
D_below_minus_D_ctor,55,-73.7406,-79.9661
D_below_minus_D_ctor,56,-73.3252,-79.8771
D_mid1_minus_D_ctor,52,-63.695,-70.3528
D_mid1_minus_D_ctor,53,-66.7534,-69.6013
D_mid1_minus_D_ctor,54,-71.7259,-69.8539
D_mid1_minus_D_ctor,55,-67.6108,-69.3038
D_mid1_minus_D_ctor,56,-63.9913,-66.8049
